time, block_id, block_x, block_y, block_width, block_height
2021-07-21 13:45:28.243709, 2, 220,  87,   8,   6
2021-07-21 13:45:28.258098, 2, 210,  72,   8,   6
2021-07-21 13:45:28.276913, 2, 210,  72,   8,   6
2021-07-21 13:45:28.293930, 2, 210,  72,   8,   6
2021-07-21 13:45:28.791906, 2, 231,  88,  10,   9
2021-07-21 13:45:28.808237, 2, 231,  88,  10,   9
2021-07-21 13:45:28.828919, 2, 223,  70,   6,   6
2021-07-21 13:45:28.840739, 2, 228,  76,   8,   9
2021-07-21 13:45:28.856901, 2, 228,  76,   8,   9
2021-07-21 13:45:28.876826, 2, 236,  98,  12,   9
2021-07-21 13:45:28.896951, 2, 231,  83,   6,   6
2021-07-21 13:45:28.916884, 2, 230,  76,   8,   7
2021-07-21 13:45:28.926371, 2, 234,  96,   8,  10
2021-07-21 13:45:28.946950, 2, 236,  94,   8,   8
2021-07-21 13:45:28.956889, 2, 223,  61,  10,   6
2021-07-21 13:45:28.976888, 2, 223,  61,  10,   6
2021-07-21 13:45:28.989612, 2, 228,  73,   8,   8
2021-07-21 13:45:29.003043, 2, 228,  73,   8,   8
2021-07-21 13:45:29.026878, 2, 238,  95,   8,  10
2021-07-21 13:45:29.037548, 2, 236,  90,  12,  26
2021-07-21 13:45:29.057136, 2, 240, 106,   8,   6
2021-07-21 13:45:29.067879, 2, 237, 102,   6,  13
2021-07-21 13:45:29.089608, 2, 237, 102,   6,  13
2021-07-21 13:45:29.104231, 2, 237, 102,   6,  13
2021-07-21 13:45:29.128292, 2, 237,  96,   6,   8
2021-07-21 13:45:29.132971, 2, 234,  79,   8,   7
2021-07-21 13:45:29.151274, 2, 234,  79,   8,   7
2021-07-21 13:45:29.169013, 2, 239,  94,  10,   7
2021-07-21 13:45:29.187025, 2, 233,  77,  10,  16
2021-07-21 13:45:29.199982, 2, 236,  77,   8,   6
2021-07-21 13:45:29.214193, 2, 238,  92,   8,   6
2021-07-21 13:45:29.230396, 2, 238,  92,   8,   6
2021-07-21 13:45:29.248737, 2, 238,  92,   8,   6
2021-07-21 13:45:49.138923, 1, 153, 165, 138,  72
2021-07-21 13:45:49.138923, 1, 179,  43,  74,  17
2021-07-21 13:45:49.158417, 1, 166, 116, 168, 166
2021-07-21 13:45:49.158417, 1, 179,  43,  74,  17
2021-07-21 13:45:49.174490, 1, 163, 114, 170, 165
2021-07-21 13:45:49.174490, 1, 179,  43,  74,  17
2021-07-21 13:45:49.206978, 1, 158,  75, 168,  92
2021-07-21 13:45:49.220075, 1, 175,  68, 126,  81
2021-07-21 13:45:49.238293, 1, 151, 110, 170, 169
2021-07-21 13:45:49.256906, 1, 179,  64, 114,  79
2021-07-21 13:45:49.276601, 1, 164,  71, 132,  97
2021-07-21 13:45:49.286881, 1, 143, 107, 170, 170
2021-07-21 13:45:49.303231, 1, 166,  60, 120,  80
2021-07-21 13:45:49.325599, 1, 143, 105, 174, 175
2021-07-21 13:45:49.336880, 1, 171,  71, 114, 107
2021-07-21 13:45:49.354854, 1, 169,  76, 118, 120
2021-07-21 13:45:49.370310, 1, 141, 105, 174, 182
2021-07-21 13:45:49.386858, 1, 152, 104, 148, 185
2021-07-21 13:45:49.406900, 1, 170,  60, 116,  99
2021-07-21 13:45:49.416849, 1, 167,  68, 122, 119
2021-07-21 13:45:49.434320, 1, 143, 106, 170, 200
2021-07-21 13:45:49.456371, 1, 148, 104, 160, 203
2021-07-21 13:45:49.466799, 1, 137, 103, 182, 206
2021-07-21 13:45:49.485599, 1, 138, 103, 184, 206
2021-07-21 13:45:49.506002, 1, 132, 103, 200, 206
2021-07-21 13:45:49.519458, 1, 131, 103, 206, 206
2021-07-21 13:45:49.536370, 1, 129, 103, 210, 207
2021-07-21 13:45:49.546833, 1, 130, 103, 212, 207
2021-07-21 13:45:49.566841, 1, 127, 103, 218, 207
2021-07-21 13:45:49.577282, 1, 131, 103, 214, 207
2021-07-21 13:45:49.597279, 1, 128, 103, 220, 207
2021-07-21 13:45:49.615114, 1, 132, 103, 216, 207
2021-07-21 13:45:49.629627, 1, 124, 103, 228, 207
2021-07-21 13:45:49.646327, 1, 126, 103, 228, 207
2021-07-21 13:45:49.666963, 1, 123, 103, 234, 207
2021-07-21 13:45:49.677082, 1, 123, 103, 234, 207
2021-07-21 13:45:49.695943, 1, 125, 103, 230, 207
2021-07-21 13:45:49.707361, 1, 124, 103, 228, 207
2021-07-21 13:45:49.727068, 1, 125, 103, 226, 207
2021-07-21 13:45:49.747123, 1, 125, 104, 222, 206
2021-07-21 13:45:49.757960, 1, 126, 105, 224, 204
2021-07-21 13:45:49.777037, 1, 127, 106, 222, 202
2021-07-21 13:45:49.795937, 1, 127, 107, 218, 200
2021-07-21 13:45:49.809702, 1, 127, 108, 218, 198
2021-07-21 13:45:49.827028, 1, 130, 109, 212, 196
2021-07-21 13:45:49.839070, 1, 130, 110, 212, 194
2021-07-21 13:45:49.855801, 1, 128,  89, 212, 151
2021-07-21 13:45:49.877025, 1, 146,  92, 176, 152
2021-07-21 13:45:49.896682, 1, 151,  86, 166, 141
2021-07-21 13:45:49.907053, 1, 153,  65, 154,  94
2021-07-21 13:45:49.907053, 1, 119, 205,  54,   4
2021-07-21 13:45:49.918437, 1, 159,  80, 150, 125
2021-07-21 13:45:49.918437, 1, 158, 186,  84,  41
2021-07-21 13:45:49.938288, 1, 154,  81, 160, 125
2021-07-21 13:45:49.938288, 1, 126, 202,  72,   9
2021-07-21 13:45:49.955230, 1, 160,  78, 148, 119
2021-07-21 13:45:49.955230, 1, 167, 182,  70,  49
2021-07-21 13:45:49.986394, 1, 158,  82, 148, 126
2021-07-21 13:45:49.986394, 1, 166, 195,  56,  24
2021-07-21 13:45:49.992476, 1, 159,  88, 150, 138
2021-07-21 13:45:49.992476, 1, 170, 192,  56,  27
2021-07-21 13:45:50.014949, 1, 163,  82, 138, 127
2021-07-21 13:45:50.014949, 1, 177, 189,  34,  33
2021-07-21 13:45:50.035739, 1, 167,  78, 130, 119
2021-07-21 13:45:50.035739, 1, 172, 194,  52,  23
2021-07-21 13:45:50.046380, 1, 160,  88, 144, 139
2021-07-21 13:45:50.046380, 1, 173, 188,  50,  38
2021-07-21 13:45:50.068261, 1, 166, 112, 132, 188
2021-07-21 13:45:50.068261, 1, 172, 189,  52,  34
2021-07-21 13:45:50.086888, 1, 154, 111, 156, 189
2021-07-21 13:45:50.086888, 1, 172, 189,  52,  34
2021-07-21 13:45:50.101831, 1, 156, 112, 152, 190
2021-07-21 13:45:50.115631, 1, 155, 111, 154, 192
2021-07-21 13:45:50.129469, 1, 156, 111, 152, 192
2021-07-21 13:45:50.166354, 1, 154,  80, 160, 134
2021-07-21 13:45:50.181041, 1, 157,  83, 150, 140
2021-07-21 13:45:50.206895, 1, 138,  78, 188, 132
2021-07-21 13:45:50.210826, 1, 153, 109, 158, 195
2021-07-21 13:45:50.226961, 1, 152, 109, 160, 196
2021-07-21 13:45:50.246884, 1, 152, 108, 160, 195
2021-07-21 13:45:50.259460, 1, 162,  78, 140, 134
2021-07-21 13:45:50.284177, 1, 137, 109, 190, 196
2021-07-21 13:45:50.297118, 1, 159, 109, 146, 196
2021-07-21 13:45:50.308153, 1, 158, 109, 148, 196
2021-07-21 13:45:50.327072, 1, 157, 108, 150, 195
2021-07-21 13:45:50.343744, 1, 164, 109, 140, 196
2021-07-21 13:45:50.362722, 1, 146, 108, 176, 195
2021-07-21 13:45:50.373283, 1, 163,  75, 142, 128
